Timestamp,Age,Gender,"How often did you go to movie theaters last year?
","Of the following movie genres, which ones do you feel are best enjoyed in a movie theatre?(Select all that apply)","Do you think online streaming services have made the viewing experience more comfortable, customized, portable while providing you with the flexibility of time?","How many of the following online digital streaming subscriptions do you currently have active (select all that apply):
",Which of the following types of movie viewing experiences do you feel comfortable doing alone?,"Binge watching implies watching multiple episodes of a TV show or movies in one sitting for an extended period of time
Have you ever done binge watching ?","Have you ever experienced feelings of anxiety, sadness, or emptiness when a show that you were binge-watching came to an end?","How much do you agree or disagree with the following statement: ""The growing popularity of OTT (Netflix, Hulu, HBO Max, etc.) platforms has led to a significant improvement in quality of content being produced""?","How much do you agree or disagree with the following statement: ""Movies have a significant impact on our culture and the way that we think and behave""?",Will you rewatch your favorite movie if it's made available?,Do you feel that re-watching movies brings back memories of your previous viewing experience?,How much do you agree that going to the movies is a social outing?,"How much do you agree with the statement: ""Watching movies can help us develop a better understanding of the thoughts and feelings of others, also known as theory of mind.""","Lastly, 
will you stop going to the movies now that online streaming platforms are available?",,,,,,
5/4/23 15:21,20-35,Female,Sometimes,"Action, SciFi, Fantasy",No,"Netflix, Hulu, HBO Max, Disney+, Prime video",Online streaming,Yes,Yes,3,3,"Yes, but only if it is available online",Yes,5,5,No,,,,,,
5/4/23 15:22,35-50,Male,Rarely,"SciFi, Horror",No,"Netflix, Hulu, HBO Max, Disney+, Paramount+, Prime video, Apple TV, ESPN, Peacock",Both,Maybe,No,3,3,"Yes, I will go to the movie theater",Yes,4,5,No,,,,,,
5/4/23 15:25,Under 20,Female,Often,"Romantic, Comedy, Horror",Yes,Disney+,Online streaming,Maybe,No,2,2,No,Not always,5,3,Maybe,,,,,,
5/4/23 15:28,20-35,Male,Rarely,"Romantic, Horror",Yes,Hulu,Both,Yes,,,,,,,3,Yes,,,,,,
5/4/23 15:30,20-35,Female,Rarely,"Romantic, Comedy, Action, SciFi",Yes,"Netflix, Hulu, Prime video",Online streaming,Yes,Yes,2,3,"Yes, but only if it is available online",Yes,5,5,No,,,,,,
5/4/23 15:30,35-50,Female,Sometimes,"Romantic, Comedy, Thriller, Suspense",Maybe,Netflix,Online streaming,Yes,Yes,3,3,"Yes, but only if it is available online",Yes,4,4,Maybe,,,,,,
5/4/23 15:30,20-35,Male,Rarely,"Action, SciFi, Fantasy, Thriller",Yes,"Prime video, Apple TV",Online streaming,Yes,Yes,3,2,"Yes, I will go to the movie theater",Yes,4,4,Yes,,,,,,
5/4/23 15:33,20-35,Female,Never,"Action, SciFi, Horror",Yes,"Netflix, Disney+, Prime video",Both,Yes,No,3,3,"Yes, but only if it is available online",Not always,3,5,Yes,,,,,,
5/4/23 15:35,20-35,Female,Sometimes,"Drama, Romantic, Comedy, Action",No,"Netflix, Prime video",Both,Yes,Yes,3,3,"Yes, but only if it is available online",Yes,5,5,No,,,,,,
5/4/23 15:36,20-35,Male,Sometimes,"Action, SciFi, Fantasy",No,"Netflix, Disney+, Prime video",Online streaming,Yes,Yes,3,3,"Yes, but only if it is available online",Yes,3,4,Maybe,,,,,,
5/4/23 15:38,20-35,Male,Never,SciFi,No,"Netflix, HBO Max, Prime video, Apple TV",Online streaming,No,No,3,2,"Yes, I will go to the movie theater",Yes,5,5,Yes,,,,,,
5/4/23 15:39,20-35,Male,Rarely,"Comedy, Action, Horror, Thriller, Suspense",No,"Netflix, Prime video",Online streaming,Yes,Yes,2,2,No,Not always,2,3,No,,,,,,
5/4/23 15:41,20-35,Male,Sometimes,"Drama, Romantic, Comedy, Action, SciFi, Fantasy, Horror, Thriller, Suspense",No,"Netflix, Hulu, HBO Max, Disney+, Prime video",Both,Yes,Yes,1,2,"Yes, but only if it is available online",Yes,1,1,Yes,,,,,,
5/4/23 15:45,20-35,Female,Rarely,"Action, SciFi, Thriller",No,"Netflix, Hulu, Prime video",Both,Yes,No,3,3,"Yes, but only if it is available online",Not always,4,2,Yes,,,,,,
5/4/23 15:46,Under 20,Female,Often,"Comedy, Action, SciFi, Thriller, Suspense",Yes,"Netflix, Hulu, HBO Max, Disney+, Prime video, ESPN",Online streaming,Yes,No,3,3,"Yes, but only if it is available online",Yes,5,4,No,,,,,,
5/4/23 15:50,20-35,Female,Rarely,"Action, SciFi, Horror, Thriller, Suspense",Yes,"Netflix, Disney+, Prime video",Online streaming,Yes,Yes,3,3,"Yes, but only if it is available online",Yes,5,5,Yes,,,,,,
5/4/23 15:54,20-35,Female,Rarely,"Drama, Romantic, Comedy, SciFi, Horror, Thriller, Suspense",No,"Netflix, Disney+, Prime video",Online streaming,Yes,Yes,1,3,"Yes, but only if it is available online",Yes,5,4,Yes,,,,,,
5/4/23 16:04,20-35,Female,Rarely,"Action, SciFi, Fantasy, Horror",No,"Netflix, Prime video",Online streaming,Yes,Yes,3,3,"Yes, but only if it is available online",Yes,3,4,Maybe,,,,,,
5/4/23 16:06,20-35,Female,Rarely,"Drama, SciFi, Fantasy, Thriller, Suspense",Yes,"Disney+, Prime video",Online streaming,Yes,Yes,2,3,"Yes, but only if it is available online",Yes,4,3,Maybe,,,,,,
5/4/23 16:06,20-35,,Often,"SciFi, Fantasy, Horror, Thriller",Yes,Netflix,Movie in a cinema theater,Yes,Yes,3,3,Does not matter where I watch it(online or movie theater),Yes,5,5,Yes,,,,,,
5/4/23 16:08,20-35,Male,Sometimes,"Comedy, Action, SciFi, Fantasy, Horror, Thriller",No,"Netflix, Hulu, HBO Max, Prime video, Apple TV, ESPN, Peacock",Both,Yes,No,3,3,No,No,3,4,No,,,,,,
5/4/23 16:24,35-50,Female,Rarely,"Action, SciFi, Fantasy",Maybe,"Disney+, Prime video, Sonyliv",Online streaming,No,No,2,2,"Yes, but only if it is available online",Yes,2,2,No,,,,,,
5/4/23 16:43,35-50,Male,Sometimes,"Drama, Romantic, Comedy, Action, SciFi, Suspense",Yes,"Disney+, Prime video",Online streaming,Yes,No,1,2,"Yes, I will go to the movie theater",Yes,5,3,No,,,,,,
5/4/23 17:06,20-35,Male,Often,"Drama, Romantic, Comedy, Action, SciFi, Fantasy, Horror, Thriller, Suspense",No,"Prime video, Peacock",Both,Yes,Yes,2,2,"Yes, I will go to the movie theater",Yes,4,4,No,,,,,,
5/4/23 17:30,20-35,Male,Rarely,"Action, SciFi, Fantasy, Horror",No,"Netflix, Hulu, HBO Max, Disney+, Prime video, Apple TV, Peacock",Online streaming,Yes,Yes,3,3,"Yes, I will go to the movie theater",Yes,5,4,No,,,,,,
5/4/23 17:30,20-35,Male,Often,"Drama, Romantic, Comedy, Action, Horror, Thriller, Suspense",No,"Netflix, Hulu, HBO Max, Prime video",Online streaming,Yes,Yes,3,3,"Yes, but only if it is available online",Yes,5,5,No,,,,,,
5/4/23 18:26,35-50,Male,Sometimes,"Action, SciFi",Maybe,"Netflix, Hulu, HBO Max, Disney+, Paramount+, Prime video, ESPN, Peacock",Online streaming,No,No,3,1,"Yes, but only if it is available online",No,5,1,Yes,,,,,,
5/4/23 18:32,20-35,Male,Sometimes,"Action, SciFi, Fantasy, Horror, Thriller, Suspense",Yes,"Netflix, Prime video",Online streaming,Yes,Yes,3,3,"Yes, but only if it is available online",Not always,1,3,Maybe,,,,,,
5/4/23 18:39,35-50,Male,Sometimes,"Drama, Romantic, Comedy, Action, SciFi, Fantasy, Horror, Thriller, Suspense",Yes,"Netflix, Disney+, Prime video",Online streaming,No,Maybe,3,3,"Yes, I will go to the movie theater",Yes,5,5,No,,,,,,
5/4/23 18:46,20-35,Female,Sometimes,"SciFi, Fantasy, Horror, Thriller",No,"Netflix, Hulu, Prime video",Online streaming,Yes,Yes,3,,,Yes,5,4,Yes,,,,,,
5/4/23 18:50,Above 50,Male,Sometimes,"Action, SciFi, Fantasy",Yes,"Disney+, Prime video",Online streaming,Yes,Yes,2,3,"Yes, but only if it is available online",Yes,4,5,No,,,,,,
5/4/23 18:51,20-35,Male,Rarely,"Action, Fantasy, Thriller, Suspense",Maybe,"Netflix, Disney+, Prime video",Online streaming,Yes,Yes,1,3,"Yes, I will go to the movie theater",Not always,4,3,No,,,,,,
5/4/23 18:52,20-35,Male,Sometimes,"Drama, Romantic, Comedy, Action, SciFi, Fantasy, Horror, Thriller, Suspense",No,"Netflix, Prime video",Both,Yes,Yes,3,3,Does not matter where I watch it(online or movie theater),Yes,4,5,No,,,,,,
5/4/23 19:02,35-50,Male,Sometimes,"Comedy, Action, Suspense",Yes,"Netflix, Disney+, Prime video, Aha zee5",Movie in a cinema theater,Yes,Yes,3,1,"Yes, but only if it is available online",Yes,5,5,Yes,,,,,,
5/4/23 19:10,Above 50,Male,Sometimes,"Drama, Comedy",Maybe,"Netflix, Hulu, HBO Max, Disney+, Prime video, Apple TV, ESPN, Aha, SonyLiv",Both,No,Maybe,3,3,"Yes, but only if it is available online",Yes,5,3,No,,,,,,
5/4/23 19:21,35-50,Female,Sometimes,"Comedy, Action, SciFi",Maybe,"Netflix, Hulu, HBO Max",Both,Maybe,No,2,1,"Yes, but only if it is available online",Yes,4,4,No,,,,,,
5/4/23 19:21,Above 50,Male,Never,"Romantic, Horror, Thriller, Suspense",Maybe,"Netflix, Hotstar",Online streaming,Yes,No,2,3,"Yes, but only if it is available online",Yes,1,2,No,,,,,,
5/4/23 19:22,Above 50,Male,Sometimes,"Action, SciFi, Fantasy",Maybe,"Netflix, HBO Max, Disney+, Prime video, Apple TV",Online streaming,Yes,No,3,2,"Yes, but only if it is available online",No,5,1,No,,,,,,
5/4/23 19:25,35-50,Male,Rarely,"Action, Fantasy",No,"Netflix, Hulu, HBO Max, Disney+, Prime video, ESPN, Aha, Zee5",None of the above,Yes,No,3,1,"Yes, but only if it is available online",Yes,5,5,No,,,,,,
5/4/23 19:30,Above 50,Female,Never,Suspense,Maybe,"Netflix, Prime video",Online streaming,Yes,No,1,2,No,No,3,1,Maybe,,,,,,
5/4/23 19:32,20-35,Female,Rarely,"Drama, Romantic, Comedy, Action",Maybe,"Netflix, Hulu, HBO Max, Disney+, Paramount+, Prime video, ESPN, Peacock, Sling TV, Aha, Zee5",Online streaming,Yes,Yes,3,3,Does not matter where I watch it(online or movie theater),Yes,5,3,Maybe,,,,,,
5/4/23 19:32,Above 50,Male,Rarely,"Action, SciFi, Fantasy",Maybe,"Netflix, Amazon Prime",Online streaming,No,Maybe,3,3,No,Not always,5,2,Maybe,,,,,,
5/4/23 19:32,20-35,Male,Rarely,"Drama, Action, SciFi, Thriller",No,"Netflix, HBO Max, Disney+, Prime video, Peacock, Dropout",Online streaming,Yes,Yes,1,3,Does not matter where I watch it(online or movie theater),Yes,4,4,No,,,,,,
5/4/23 19:51,Above 50,Male,Rarely,"Comedy, Action, Thriller, Suspense",Yes,"Netflix, HBO Max, Prime video, Airtel Xtreme",Online streaming,No,No,2,3,"Yes, but only if it is available online",Not always,2,3,Maybe,,,,,,
5/4/23 20:17,Above 50,Male,Rarely,Action,No,Netflix,Both,No,No,2,3,No,Not always,1,2,Maybe,,,,,,
5/4/23 20:35,Above 50,Male,Rarely,"Comedy, Action, SciFi",Yes,None,Both,Yes,Yes,2,3,Does not matter where I watch it(online or movie theater),Not always,2,5,Maybe,,,,,,
5/4/23 20:39,35-50,Female,Rarely,Comedy,Yes,"Netflix, Disney+, Prime video",Online streaming,No,No,,,"Yes, but only if it is available online",No,1,1,Yes,,,,,,
5/4/23 20:43,Above 50,Male,Often,"Drama, Romantic, Comedy, Action, SciFi, Fantasy, Horror, Thriller, Suspense",No,"Netflix, Disney+, Prime video, Zee five ,Sony liv,Aha",Online streaming,Yes,Yes,3,3,"Yes, but only if it is available online",Yes,5,5,No,,,,,,
5/4/23 20:46,20-35,Male,Sometimes,"Action, SciFi, Fantasy, Horror, Thriller, Suspense",Yes,Prime video,Online streaming,Yes,Yes,2,2,"Yes, I will go to the movie theater",Yes,1,1,No,,,,,,
5/4/23 21:08,Above 50,Male,Sometimes,"Drama, Romantic, Comedy, Fantasy, Thriller, Suspense",No,"Netflix, Prime video, Apple TV, Peacock",Online streaming,Yes,No,2,1,Does not matter where I watch it(online or movie theater),Yes,5,3,No,,,,,,
5/4/23 21:33,35-50,Male,Rarely,"Romantic, Comedy, Action, SciFi, Fantasy, Horror, Thriller, Suspense",Yes,"Disney+, Prime video, Zee",None of the above,Yes,Maybe,1,3,"Yes, but only if it is available online",Yes,5,3,No,,,,,,
5/4/23 21:36,Above 50,Male,Rarely,"Drama, Thriller, Suspense",Yes,"Netflix, Disney+, Prime video",Both,Maybe,Yes,3,2,"Yes, I will go to the movie theater",Yes,3,2,Maybe,,,,,,
5/4/23 21:37,Above 50,Female,Rarely,"Fantasy, Horror, Thriller, Suspense",Yes,"Netflix, Disney+, Prime video, ZEE5, Sun nxt, Aha,hotstar",Online streaming,Yes,No,2,3,No,No,5,3,No,,,,,,
5/4/23 21:41,35-50,Male,Rarely,"Action, SciFi, Fantasy",Yes,"Netflix, Disney+, Prime video",Online streaming,No,No,1,3,"Yes, but only if it is available online",No,3,1,Maybe,,,,,,
5/4/23 21:43,Above 50,Male,Rarely,Action,No,"Netflix, Disney+, Prime video",Online streaming,Yes,No,3,3,"Yes, but only if it is available online",Yes,5,2,Yes,,,,,,
5/4/23 21:45,35-50,Female,Often,"Comedy, Action, Thriller, Suspense",Yes,"Netflix, Disney+, ",Both,No,No,3,3,"Yes, I will go to the movie theater",Yes,3,4,Yes,,,,,,
5/4/23 21:46,20-35,Female,Sometimes,"Romantic, Comedy, Action, SciFi",No,"Netflix, Disney+, Prime video",Online streaming,Yes,Yes,3,2,"Yes, but only if it is available online",Yes,3,4,No,,,,,,
5/4/23 21:51,Above 50,Male,Rarely,"Horror, Thriller",No,"Netflix, Prime video",Online streaming,No,No,2,3,"Yes, I will go to the movie theater",Yes,1,1,Yes,,,,,,
5/4/23 21:52,20-35,Male,Often,"Drama, Romantic, Comedy, Action, SciFi, Fantasy, Horror, Thriller, Suspense",Yes,"Netflix, Disney+, Prime video, Apple TV",Both,Yes,No,3,3,No,No,5,4,No,,,,,,
5/4/23 22:24,20-35,Male,Rarely,"Action, SciFi, Horror, Thriller",Yes,"Netflix, Disney+, Prime video, F1 TV, Sony Liv, Aaha",Online streaming,Yes,Maybe,3,3,"Yes, but only if it is available online",Yes,4,3,Maybe,,,,,,
5/4/23 22:29,35-50,Male,Rarely,"Drama, Action, SciFi, Fantasy, Horror, Suspense",No,"Netflix, Disney+, Prime video",Both,Yes,Yes,3,3,"Yes, but only if it is available online",Yes,5,5,No,,,,,,
5/4/23 22:32,Above 50,Male,Rarely,"Drama, Romantic, Comedy, Action, SciFi, Fantasy, Horror, Thriller, Suspense",Maybe,"Netflix, Prime video",None of the above,Maybe,No,3,3,Does not matter where I watch it(online or movie theater),Not always,3,3,No,,,,,,
5/4/23 22:35,Above 50,Male,Never,"Action, SciFi, Thriller",No,"Netflix, Prime video, Sony",Online streaming,No,Yes,3,3,No,No,5,3,No,,,,,,
5/4/23 22:35,20-35,Female,Sometimes,Suspense,No,"Netflix, Disney+, Prime video",Both,Yes,Yes,3,3,"Yes, but only if it is available online",Not always,5,5,No,,,,,,
5/4/23 22:42,35-50,Female,Rarely,Comedy,Yes,"Netflix, Disney+",Both,Yes,Yes,3,3,"Yes, but only if it is available online",Yes,5,5,Yes,,,,,,
5/4/23 23:02,Above 50,Male,Rarely,"Drama, Romantic, Action, Thriller",Maybe,"Netflix, Disney+, Prime video, Jio VU SonyLIV",,No,No,3,3,Does not matter where I watch it(online or movie theater),Not always,5,2,No,,,,,,
5/4/23 23:03,20-35,Male,Rarely,"Drama, Comedy, Action, SciFi, Fantasy, Thriller, Suspense",No,"Netflix, Hulu, Disney+, Prime video",Online streaming,Yes,Maybe,3,3,"Yes, but only if it is available online",Yes,3,5,Maybe,,,,,,
5/4/23 23:08,35-50,Female,Rarely,"Romantic, Comedy, Thriller, Suspense",Yes,"Netflix, Disney+, Prime video",Both,No,Maybe,3,3,"Yes, but only if it is available online",Not always,3,2,Yes,,,,,,
5/4/23 23:10,Above 50,Male,Rarely,"Drama, Romantic, Comedy, Action, SciFi, Fantasy, Thriller, Suspense",No,"Netflix, Prime video",Online streaming,Yes,No,3,3,"Yes, but only if it is available online",No,5,1,Yes,,,,,,
5/4/23 23:12,Above 50,Male,Rarely,Comedy,Maybe,"Netflix, Hulu, HBO Max, Paramount+, Prime video, Apple TV, Peacock, Sling ",Both,Yes,Yes,3,3,"Yes, but only if it is available online",Yes,3,5,Yes,,,,,,
5/4/23 23:15,Above 50,Male,Often,"Action, SciFi, Fantasy, Thriller",Yes,"Netflix, Disney+, Prime video",Online streaming,Yes,Yes,3,1,Does not matter where I watch it(online or movie theater),Yes,5,3,No,,,,,,
5/4/23 23:17,Above 50,Male,Never,"Romantic, Comedy, Suspense",Yes,"USA RCN, Sling",Both,No,No,1,3,Does not matter where I watch it(online or movie theater),Yes,1,1,No,,,,,,
5/4/23 23:19,20-35,Prefer not to say,Never,Comedy,Yes,"Netflix, Aha",Both,Maybe,Yes,1,1,Does not matter where I watch it(online or movie theater),No,1,5,No,,,,,,
5/4/23 23:20,Above 50,Male,Never,SciFi,Maybe,Prime video,Online streaming,Yes,No,3,1,"Yes, but only if it is available online",Not always,4,1,Yes,,,,,,
5/4/23 23:22,20-35,Female,Rarely,"Comedy, SciFi, Thriller, Suspense",No,"Netflix, Disney+, Prime video",Both,Yes,Yes,3,3,Does not matter where I watch it(online or movie theater),Not always,2,1,No,,,,,,
5/4/23 23:22,Above 50,Male,Sometimes,"Drama, Romantic, Comedy, Action, SciFi, Thriller",Maybe,Netflix,Both,Yes,Yes,3,3,"Yes, but only if it is available online",Yes,3,3,Yes,,,,,,
5/4/23 23:24,Above 50,Female,Rarely,Thriller,Yes,"Netflix, Disney+, Prime video",Online streaming,Yes,No,1,1,"Yes, but only if it is available online",Yes,1,1,Yes,,,,,,
5/4/23 23:37,Above 50,Male,Sometimes,"Action, SciFi, Thriller, Suspense",No,"Netflix, Prime video",Online streaming,Maybe,No,2,3,"Yes, but only if it is available online",Yes,5,3,Yes,,,,,,
5/4/23 23:42,Above 50,Female,Rarely,"Action, Fantasy, Horror, Thriller",Maybe,"Netflix, Disney+",Online streaming,No,No,,,,No,4,,No,,,,,,
5/4/23 23:43,35-50,Male,Rarely,"Action, SciFi, Horror",No,,Both,Yes,No,3,2,"Yes, but only if it is available online",No,2,2,Yes,,,,,,
5/5/23 0:15,35-50,Female,Rarely,"Action, Fantasy",Yes,"Netflix, Prime video",Online streaming,No,No,1,3,No,No,5,4,Maybe,,,,,,
5/5/23 0:24,20-35,Female,Sometimes,"Action, SciFi, Fantasy, Horror, Thriller, Suspense",Maybe,"Netflix, Disney+, Prime video",Both,Yes,Yes,3,2,Does not matter where I watch it(online or movie theater),Yes,3,3,No,,,,,,
5/5/23 0:24,Above 50,Male,Rarely,Comedy,Yes,None,Both,No,No,1,2,"Yes, I will go to the movie theater",Yes,5,2,No,,,,,,
5/5/23 0:32,35-50,Female,Sometimes,"Comedy, Action, Thriller, Suspense",Maybe,"Netflix, Disney+, Prime video",Online streaming,No,Yes,,,,,,,No,,,,,,
5/5/23 0:49,20-35,Female,Rarely,"Action, SciFi",No,"Netflix, Disney+, Prime video",Online streaming,Yes,Yes,3,2,"Yes, but only if it is available online",Not always,5,3,Yes,,,,,,
5/5/23 1:11,20-35,Female,Rarely,"Drama, Romantic, Comedy, Action, Horror, Thriller, Suspense",Maybe,"Netflix, Disney+, ",,Yes,Yes,3,1,"Yes, but only if it is available online",Yes,3,5,Maybe,,,,,,
5/5/23 1:32,20-35,Female,Sometimes,SciFi,Yes,"Netflix, Hulu, HBO Max, Disney+, Prime video",Online streaming,Yes,Yes,3,3,"Yes, but only if it is available online",Yes,5,5,No,,,,,,
5/5/23 1:34,20-35,Male,Often,Romantic,Yes,"Netflix, Hulu, Prime video, Apple TV",Both,No,No,2,2,No,Not always,5,5,No,,,,,,
5/5/23 1:45,20-35,Male,Never,"Drama, Romantic, Comedy, Action, SciFi, Fantasy, Horror",Yes,"Netflix, Disney+, Prime video",Online streaming,Yes,Yes,3,3,"Yes, I will go to the movie theater",Yes,5,3,No,,,,,,
5/5/23 2:02,20-35,Male,Never,"Action, SciFi, Fantasy, Horror",Yes,"Disney+, Prime video",Online streaming,Yes,No,3,3,"Yes, but only if it is available online",Yes,5,5,Yes,,,,,,
5/5/23 2:16,35-50,Female,Rarely,"Thriller, Suspense",Yes,"Netflix, Disney+, Prime video, ",Online streaming,No,Yes,3,3,"Yes, but only if it is available online",Yes,4,3,No,,,,,,
5/5/23 2:40,Above 50,Female,Never,"Action, Thriller",Maybe,Netflix,Online streaming,Yes,No,1,1,"Yes, but only if it is available online",Not always,1,1,Yes,,,,,,
5/5/23 4:35,20-35,Male,Sometimes,"Drama, Romantic, Comedy, Action, SciFi",Yes,"Netflix, Hulu, HBO Max, Disney+, Paramount+, Prime video, Peacock",Both,Yes,Yes,3,3,"Yes, but only if it is available online",Not always,2,5,No,,,,,,
5/5/23 7:16,Above 50,Male,Sometimes,"Drama, Comedy, Action, Suspense",Yes,"Netflix, Disney+, Prime video",Online streaming,Yes,Maybe,2,3,"Yes, but only if it is available online",Yes,3,4,No,,,,,,
5/5/23 7:20,Above 50,Male,Rarely,"Action, SciFi, Horror",No,"Netflix, Prime video",None of the above,Yes,No,1,3,No,Not always,5,3,No,,,,,,
5/5/23 10:30,Above 50,Male,Never,Action,Yes,"Netflix, Disney+, Sonyliv & AHA",None of the above,Yes,Yes,2,1,"Yes, but only if it is available online",Yes,3,4,No,,,,,,
5/5/23 11:13,Above 50,Male,Never,Comedy,Yes,Netflix,Online streaming,No,No,3,3,No,No,4,4,Yes,,,,,,
5/5/23 11:21,Above 50,Male,Rarely,"Comedy, Action",No,Prime video,Online streaming,No,No,1,1,"Yes, but only if it is available online",Not always,1,1,No,,,,,,
5/5/23 11:52,20-35,Female,Rarely,"Drama, Comedy, Action",Yes,"Netflix, Hulu, HBO Max, Prime video, Apple TV",Online streaming,Yes,Yes,3,1,"Yes, but only if it is available online",No,5,5,No,,,,,,
5/5/23 21:55,20-35,Male,Sometimes,"Action, SciFi, Fantasy, Thriller",Yes,"Netflix, Hulu, HBO Max, Disney+, Prime video, Apple TV",Online streaming,Yes,Yes,2,3,"Yes, but only if it is available online",Not always,3,4,No,,,,,,